08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2025-12-16 08:11:37.321046
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second, TASK_ID=second, USER_ID=The teac
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: Added task second          for user The teacher    
08:11:37 16.12.2025 [                     make]: |   INFO|: Parse and store all homeworks...
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Homework
08:11:37 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:37 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/01, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/02, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/01, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/02, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/01, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/02, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/01, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/02, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/01, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/02, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/attendance, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.vali
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/deadline, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valida
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/no_import, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valid
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/solution_size, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.v
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/01, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/02, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2025-12-16 08:06:31.253115
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2025-12-16 08:06:31.244951
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2025-12-16 08:06:31.
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2025-12-16 08:06:3
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2025-12-16 08:06:31.122394
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2025-12-16 08:06:31.114267
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2025-12-16 08:06:31.114267
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2025-12-16 08:06:31.122394
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2025-12-16 08:06:31.
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2025-12-16 08:06:3
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2025-12-16 08:06:31.244951
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\second homework
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2025-12-16 08:06:31.253115
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=Check run, timestamp=2025-12-16 08:11:38.089920
08:11:38 16.12.2025 [                     make]: |   INFO|: Run new checks on all solutions...
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_first.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_first.py / C:\tmp\hworker_check\Beautiful student_first.in
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/01@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_first.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_first.py / C:\tmp\hworker_check\Beautiful student_first.in
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/02@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, c
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, ca
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_second.py / C:\tmp\hworker_check\Beautiful student_second.in
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/01@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_second.py / C:\tmp\hworker_check\Beautiful student_second.in
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/02@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, c
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student,
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful stude
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_first.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_first.py / C:\tmp\hworker_check\Smart student_first.in
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/01@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_first.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_first.py / C:\tmp\hworker_check\Smart student_first.in
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/02@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=Ch
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=C
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Smart student:first, TASK_ID=first, USER_ID=Smart student, catego
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_second.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_second.py / C:\tmp\hworker_check\Smart student_second.in
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/01@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
08:11:38 16.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_second.py run
08:11:38 16.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_second.py / C:\tmp\hworker_check\Smart student_second.in
